"‹¯¨""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Mounting Type,Operating Temperature,Applications,Ratings,Package / Case,Size / Dimension,Height - Seated (Max),Thickness (Max),Lead Spacing,Features,Lead Style,Column1
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1658-1-ND,GRM21BR72A223KA01L,Murata Electronics North America,CAP CER 0.022UF 100V X7R 0805,34589,0,0.18,0,1,Cut Tape (CT),GRM,0.022uF,¶ñ10%,100V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-8308-1-ND,GRM21B5C1H223GA01L,Murata Electronics North America,CAP CER 0.022UF 50V 2% NP0 0805,2506,0,0.74,0,1,Cut Tape (CT),GRM,0.022uF,¶ñ2%,50V,"C0G, NP0","Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1659-1-ND,GRM21BR72A223MA01L,Murata Electronics North America,CAP CER 0.022UF 100V X7R 0805,10125,0,0.18,0,1,Cut Tape (CT),GRM,0.022uF,¶ñ20%,100V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-8307-1-ND,GRM21B5C1H203JA01L,Murata Electronics North America,CAP CER 0.02UF 50V 5% NP0 0805,6524,0,0.44,0,1,Cut Tape (CT),GRM,0.02uF,¶ñ5%,50V,"C0G, NP0","Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%20(2012%20Metric)%20.85mm.jpg,490-1660-1-ND,GRM219R71H333KA01D,Murata Electronics North America,CAP CER 0.033UF 50V 10% X7R 0805,59378,0,0.12,0,1,Cut Tape (CT),GRM,0.033uF,¶ñ10%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.037"" (0.95mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-3323-1-ND,GRM21BR72A333KA01L,Murata Electronics North America,CAP CER 0.033UF 100V X7R 0805,16690,0,0.26,0,1,Cut Tape (CT),GRM,0.033uF,¶ñ10%,100V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21A%29.jpg,490-6455-1-ND,GRM21A7U1H333JA39L,Murata Electronics North America,CAP CER 0.033UF 50V 5% U2J 0805,968,0,0.47,0,1,Cut Tape (CT),GRM,0.033uF,¶ñ5%,50V,U2J,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.039"" (1.00mm)",-,-,-,
http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM216F51H333ZA01-01.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GxM6%29.jpg,490-1721-1-ND,GRM216F51H333ZA01D,Murata Electronics North America,CAP CER 0.033UF 50V Y5V 0805,0,0,Call,0,10,Cut Tape (CT),GRM,0.033uF,"-20%, +80%",50V,Y5V (F),"Surface Mount, MLCC",-30¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.028"" (0.70mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-8309-1-ND,GRM21B7U1H433JA01L,Murata Electronics North America,CAP CER 0.043UF 50V 5% U2J 0805,5122,0,0.45,0,1,Cut Tape (CT),GRM,0.043uF,¶ñ5%,50V,U2J,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1661-1-ND,GRM21BR71H473KA01L,Murata Electronics North America,CAP CER 0.047UF 50V 10% X7R 0805,32908,0,0.15,0,1,Cut Tape (CT),GRM,0.047uF,¶ñ10%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-3325-1-ND,GRM21BR72A473KA01L,Murata Electronics North America,CAP CER 0.047UF 100V X7R 0805,10769,0,0.18,0,1,Cut Tape (CT),GRM,0.047uF,¶ñ10%,100V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-6463-1-ND,GRM21B7U1H473JA01L,Murata Electronics North America,CAP CER 0.047UF 50V 5% U2J 0805,5164,0,0.46,0,1,Cut Tape (CT),GRM,0.047uF,¶ñ5%,50V,U2J,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GxM6%29.jpg,490-1747-1-ND,GRM216E41H473MA01D,Murata Electronics North America,CAP CER 0.047UF 50V 20% Z5U 0805,0,0,Call,0,10,Cut Tape (CT),GRM,0.047uF,¶ñ20%,50V,Z5U,"Surface Mount, MLCC",10¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.028"" (0.70mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-4742-1-ND,GRM21BR71H473MA01L,Murata Electronics North America,CAP CER 0.047UF 50V 20% X7R 0805,0,0,Call,0,10,Cut Tape (CT),GRM,0.047uF,¶ñ20%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1662-1-ND,GRM21BR71H563KA01L,Murata Electronics North America,CAP CER 0.056UF 50V 10% X7R 0805,718,0,0.19,0,1,Cut Tape (CT),GRM,0.056uF,¶ñ10%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%20(2012%20Metric)%20.85mm.jpg,490-3046-1-ND,GRM219R71E683KA01D,Murata Electronics North America,CAP CER 0.068UF 25V 10% X7R 0805,20540,0,0.22,0,1,Cut Tape (CT),GRM,0.068uF,¶ñ10%,25V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.037"" (0.95mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1663-1-ND,GRM21BR71H683KA01L,Murata Electronics North America,CAP CER 0.068UF 50V 10% X7R 0805,36361,0,0.25,0,1,Cut Tape (CT),GRM,0.068uF,¶ñ10%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%20(2012%20Metric)%20.85mm.jpg,490-1682-1-ND,GRM219R71C683KA01D,Murata Electronics North America,CAP CER 0.068UF 16V 10% X7R 0805,16158,0,0.21,0,1,Cut Tape (CT),GRM,0.068uF,¶ñ10%,16V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.037"" (0.95mm)",-,-,-,
http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM216F51H683ZA01-01.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GxM6%29.jpg,490-1722-1-ND,GRM216F51H683ZA01D,Murata Electronics North America,CAP CER 0.068UF 50V Y5V 0805,210,0,0.113,0,10,Cut Tape (CT),GRM,0.068uF,"-20%, +80%",50V,Y5V (F),"Surface Mount, MLCC",-30¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.028"" (0.70mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1674-1-ND,GRM21BR71E154KA01L,Murata Electronics North America,CAP CER 0.15UF 25V 10% X7R 0805,53995,0,0.29,0,1,Cut Tape (CT),GRM,0.15uF,¶ñ10%,25V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1667-1-ND,GRM21BR71H154KA01L,Murata Electronics North America,CAP CER 0.15UF 50V 10% X7R 0805,48536,0,0.28,0,1,Cut Tape (CT),GRM,0.15uF,¶ñ10%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1668-1-ND,GRM21BR71H154MA01L,Murata Electronics North America,CAP CER 0.15UF 50V 20% X7R 0805,7576,0,0.29,0,1,Cut Tape (CT),GRM,0.15uF,¶ñ20%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM216F51E154ZA01-01.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GxM6%29.jpg,490-1727-1-ND,GRM216F51E154ZA01D,Murata Electronics North America,CAP CER 0.15UF 25V Y5V 0805,5,0,0.182,0,10,Cut Tape (CT),GRM,0.15uF,"-20%, +80%",25V,Y5V (F),"Surface Mount, MLCC",-30¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.028"" (0.70mm)",-,-,-,
http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM219F51H154ZA01-01.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%20(2012%20Metric)%20.85mm.jpg,490-1724-1-ND,GRM219F51H154ZA01D,Murata Electronics North America,CAP CER 0.15UF 50V Y5V 0805,0,0,Call,0,10,Cut Tape (CT),GRM,0.15uF,"-20%, +80%",50V,Y5V (F),"Surface Mount, MLCC",-30¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.037"" (0.95mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1669-1-ND,GRM21BR71H184KA01L,Murata Electronics North America,CAP CER 0.18UF 50V 10% X7R 0805,15978,0,0.37,0,1,Cut Tape (CT),GRM,0.18uF,¶ñ10%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM216F51E104ZA01-01.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GxM6%29.jpg,490-1726-1-ND,GRM216F51E104ZA01D,Murata Electronics North America,CAP CER 0.1UF 25V Y5V 0805,295486,0,0.1,0,1,Cut Tape (CT),GRM,0.1uF,"-20%, +80%",25V,Y5V (F),"Surface Mount, MLCC",-30¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.028"" (0.70mm)",-,-,-,
http://psearch.murata.com/capacitor/product/GRM21BR71E104KA01%23.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1673-1-ND,GRM21BR71E104KA01L,Murata Electronics North America,CAP CER 0.1UF 25V 10% X7R 0805,44451,0,0.1,0,1,Cut Tape (CT),GRM,0.1uF,¶ñ10%,25V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,onhand
http://psearch.murata.com/capacitor/product/GRM219F51H104ZA01%23.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%20(2012%20Metric)%20.85mm.jpg,490-1723-1-ND,GRM219F51H104ZA01D,Murata Electronics North America,CAP CER 0.1UF 50V Y5V 0805,66317,0,0.1,0,1,Cut Tape (CT),GRM,0.1uF,"-20%, +80%",50V,Y5V (F),"Surface Mount, MLCC",-30¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.037"" (0.95mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%20(2012%20Metric)%20.85mm.jpg,490-1683-1-ND,GRM219R71C104KA01D,Murata Electronics North America,CAP CER 0.1UF 16V 10% X7R 0805,198603,0,0.13,0,1,Cut Tape (CT),GRM,0.1uF,¶ñ10%,16V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.037"" (0.95mm)",-,-,-,
http://psearch.murata.com/capacitor/product/GRM21BR71H104KA01%23.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-9754-1-ND,GRM21BR71H104KA01K,Murata Electronics North America,CAP CER 0.1UF 50V 10% X7R 0805,3309,0,0.18,0,1,Cut Tape (CT),GRM,0.1uF,¶ñ10%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-9672-1-ND,GRM21BR71H104MA01L,Murata Electronics North America,CAP CER 0.1UF 50V 20% X7R 0805,4102,0,0.14,0,1,Cut Tape (CT),GRM,0.1uF,¶ñ20%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://psearch.murata.com/capacitor/product/GRM21BR71H104KA01%23.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1666-1-ND,GRM21BR71H104KA01L,Murata Electronics North America,CAP CER 0.1UF 50V 10% X7R 0805,0,0,0.18,0,1,Cut Tape (CT),GRM,0.1uF,¶ñ10%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM216F51C104ZA01-01.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GxM6%29.jpg,490-1734-1-ND,GRM216F51C104ZA01D,Murata Electronics North America,CAP CER 0.1UF 16V Y5V 0805,0,0,Call,0,1,Cut Tape (CT),GRM,0.1uF,"-20%, +80%",16V,Y5V (F),"Surface Mount, MLCC",-30¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.028"" (0.70mm)",-,-,-,
http://media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/GRM219E41H104MA01.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%20(2012%20Metric)%20.85mm.jpg,490-1748-1-ND,GRM219E41H104MA01D,Murata Electronics North America,CAP CER 0.1UF 50V 20% Z5U 0805,0,0,Call,0,10,Cut Tape (CT),GRM,0.1uF,¶ñ20%,50V,Z5U,"Surface Mount, MLCC",10¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.037"" (0.95mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1670-1-ND,GRM21BR71H224KA01L,Murata Electronics North America,CAP CER 0.22UF 50V 10% X7R 0805,348285,0,0.25,0,1,Cut Tape (CT),GRM,0.22uF,¶ñ10%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM216F51H224ZA01-01.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GxM6%29.jpg,490-3047-1-ND,GRM216F51H224ZA01D,Murata Electronics North America,CAP CER 0.22UF 50V Y5V 0805,38945,0,0.22,0,1,Cut Tape (CT),GRM,0.22uF,"-20%, +80%",50V,Y5V (F),"Surface Mount, MLCC",-30¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.028"" (0.70mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1671-1-ND,GRM21BR71H224MA01L,Murata Electronics North America,CAP CER 0.22UF 50V 20% X7R 0805,8850,0,0.26,0,1,Cut Tape (CT),GRM,0.22uF,¶ñ20%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,
http://www.murata.com/products/catalog/pdf/c02e.pdf,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21A%29.jpg,490-8306-1-ND,GRM21AR72A224KAC5K,Murata Electronics North America,CAP CER 0.22UF 100V 10% X7R 0805,14441,0,0.34,0,1,Cut Tape (CT),GRM,0.22uF,¶ñ10%,100V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.039"" (1.00mm)",-,-,-,
