"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Mounting Type,Operating Temperature,Applications,Ratings,Package / Case,Size / Dimension,Height - Seated (Max),Thickness (Max),Lead Spacing,Features,Lead Style,In Adafruit Kit,Common,Orderable,STOCK,Package,Column6
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1658-1-ND,GRM21BR72A223KA01L,Murata Electronics North America,CAP CER 0.022UF 100V X7R 0805,21529,0,0.18,0,1,Cut Tape (CT),GRM,0.022ÂuF,Â±10%,100V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,,,,,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1659-1-ND,GRM21BR72A223MA01L,Murata Electronics North America,CAP CER 0.022UF 100V X7R 0805,9625,0,0.18,0,1,Cut Tape (CT),GRM,0.022ÂuF,Â±20%,100V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,,,,,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-8308-1-ND,GRM21B5C1H223GA01L,Murata Electronics North America,CAP CER 0.022UF 50V 2% NP0 0805,0,0,0.74,0,1,Cut Tape (CT),GRM,0.022ÂuF,Â±2%,50V,"C0G, NP0","Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,,,,,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-8307-1-ND,GRM21B5C1H203JA01L,Murata Electronics North America,CAP CER 0.02UF 50V 5% NP0 0805,5201,0,0.44,0,1,Cut Tape (CT),GRM,0.02ÂuF,Â±5%,50V,"C0G, NP0","Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,,,,,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/Renders/Murata%20Renders/0805%28GxM9%29.jpg,490-1660-1-ND,GRM219R71H333KA01D,Murata Electronics North America,CAP CER 0.033UF 50V 10% X7R 0805,72104,0,0.12,0,1,Cut Tape (CT),GRM,0.033ÂuF,Â±10%,50V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.037"" (0.95mm)",-,-,-,,,,,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-3323-1-ND,GRM21BR72A333KA01L,Murata Electronics North America,CAP CER 0.033UF 100V X7R 0805,14807,0,0.26,0,1,Cut Tape (CT),GRM,0.033ÂuF,Â±10%,100V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,,,,,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21A%29.jpg,490-6455-1-ND,GRM21A7U1H333JA39L,Murata Electronics North America,CAP CER 0.033UF 50V 5% U2J 0805,6948,0,0.47,0,1,Cut Tape (CT),GRM,0.033ÂuF,Â±5%,50V,U2J,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.039"" (1.00mm)",-,-,-,,,,,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-8309-1-ND,GRM21B7U1H433JA01L,Murata Electronics North America,CAP CER 0.043UF 50V 5% U2J 0805,1542,0,0.45,0,1,Cut Tape (CT),GRM,0.043ÂuF,Â±5%,50V,U2J,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,,,,,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-1661-1-ND,GRM21BR71H473KA01L,Murata Electronics North America,CAP CER 0.047UF 50V 10% X7R 0805,52268,0,0.15,0,1,Cut Tape (CT),GRM,0.047ÂuF,Â±10%,50V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,,,,,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/Renders/Murata%20Renders/0805%28GRM21B%29.jpg,490-3325-1-ND,GRM21BR72A473KA01L,Murata Electronics North America,CAP CER 0.047UF 100V X7R 0805,16379,0,0.18,0,1,Cut Tape (CT),GRM,0.047ÂuF,Â±10%,100V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.053"" (1.35mm)",-,-,-,,,,,,
